# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
2006n              kaepora  11322.80     226.297
1993ag             kaepora  11047.80     300.000
2006h              kaepora  10643.50     223.630
f20080514-002      kaepora  15508.00     221.441
2004ef             kaepora  12289.00     226.297
2004eo             kaepora  10568.30     222.453
2004ey             kaepora  11164.10     375.286
1999ee             kaepora  10012.10     263.600
1999ej             kaepora  10663.80     222.453
1999ek             kaepora  10754.00     260.233
1995al             kaepora  13007.70     234.702
1995e              kaepora  11156.80     243.074
2009ad             kaepora  10460.40     233.822
2008hj             kaepora  11690.80     331.765
2000fa             kaepora  11817.40     237.475
2008hv             kaepora  10486.30     237.293
2005bg             kaepora  10801.90     404.429
2005bl             kaepora  10495.10     222.453
2002de             kaepora  11439.40     246.321
2002dj             kaepora  13686.40     222.453
2002do             kaepora  11285.70     224.386
2002dp             kaepora  11085.50     232.108
2003gt             kaepora  10675.50     300.000
2004dt             kaepora  15927.90     222.453
1999dq             kaepora  10715.00     256.961
2003gn             kaepora  12515.60     274.857
1999da             kaepora  10831.70     250.721
1991bg             kaepora  10039.30     222.453
1989b              kaepora  10560.50     222.453
2005ag             kaepora  11751.30     315.922
2001v              kaepora  11202.10     237.068
2001g              kaepora  11845.20     222.453
2001e              kaepora  14511.30     222.453
2001n              kaepora  14056.60     222.453
1993ac             kaepora  13208.30     222.453
2008gl             kaepora  11835.40     227.898
2005cf             kaepora  10342.50     222.453
2007kk             kaepora  12070.70     222.453
2000b              kaepora  15041.40     230.708
2000e              kaepora  10831.40     222.453
1999gh             kaepora  12021.00     222.453
1999gd             kaepora  10778.70     247.760
1999gp             kaepora  11334.60     241.732
1992al             kaepora  11263.90     300.000
1992ag             kaepora  11741.40     300.000
1992ae             kaepora   7359.47     300.000
2008fr             kaepora  13705.00     338.463
2005hf             kaepora   9922.64     224.386
2000dg             kaepora  10810.90     222.453
2000dk             kaepora  11101.50     238.716
2000dm             kaepora  11274.30     224.130
2000dn             kaepora  10208.80     226.297
2007hu             kaepora  13447.00     224.655
2007hj             kaepora  12179.10     223.878
2011by             kaepora  10300.00         NaN
2002fk             kaepora  10008.00     238.298
2002fb             kaepora  10922.70     232.468
2006hb             kaepora  11153.20     223.146
1995d              kaepora  10328.80     226.586
2010a              kaepora  10028.90     229.363
2003y              kaepora  10699.00     287.587
2003u              kaepora  11312.40     253.271
2003w              kaepora  14684.70     222.453
2007ob             kaepora  12248.90     413.679
2006je             kaepora  10129.80     260.233
1998v              kaepora  10851.00     223.878
2004l              kaepora  10224.60     227.783
2002aw             kaepora  10846.80     243.074
1992bs             kaepora   9314.78     300.000
1992bp             kaepora  11234.90     300.000
1992bl             kaepora  11426.50     300.000
2009ig             kaepora  13500.00         NaN
2006kf             kaepora  11436.00     259.681
2009y              kaepora  14572.00     223.105
2000cu             kaepora  11577.30     237.885
2005el             kaepora  10803.10     222.453
2000cp             kaepora  11727.90     292.235
2000ce             kaepora  11365.30     222.453
2000cf             kaepora   9955.13     244.910
2005eu             kaepora  10841.50     231.400
2005eq             kaepora   9889.43     224.911
2007is             kaepora  11725.30     388.271
1994ae             kaepora  10978.60     225.453
2002g              kaepora  11843.80     255.893
2001dl             kaepora   9934.02     300.000
2001da             kaepora  11527.40     224.386
2008dt             kaepora  14299.10     300.000
2007fs             kaepora  10612.00     394.823
2007fb             kaepora  11755.60     249.227
2005hj             kaepora  10295.50     223.604
2005hc             kaepora  11656.50     233.198
2003cg             kaepora  11358.60     228.406
2003ch             kaepora  10968.50     343.910
2003cq             kaepora  11670.60     438.345
2002cr             kaepora  10053.60     227.783
2002cu             kaepora  12503.40     234.321
2002cf             kaepora  11354.90     310.989
2002cd             kaepora  15275.10     231.052
2002ck             kaepora  10289.80     269.416
2001ex             kaepora   9883.52     394.823
2001ep             kaepora  10800.70     230.367
2001eh             kaepora  10700.10     253.790
2001en             kaepora  13318.70     222.453
2001el             kaepora  11653.30     222.453
2007jh             kaepora  10869.40     235.850
2006mp             kaepora   7817.96     253.444
2005bc             kaepora  11143.10     222.453
2005bo             kaepora  11093.30     237.475
